subject,content,answer,sentence,cat,maincat,subcat,a_perspective_1,a_perspective_2,a_perspective_3,s_perspective_1
Has anyone used ear acupuncture to stop smoking?  Did you succeed?,"I have an appointment to get ear acupuncture next week.  I truly want to quit smoking again (4th attempt in 10 years). I am lookin for success stories.  Also, people who haven't succeeded and what happened to make you go back?",Yes it works!  I was getting it 3 or 4 times a week at first.  In Nova Scotia it's a free service provided by our government.   I peetered down to once a week and then stopped going.  I had been smoke free for 6 months.  When I stopped going to acupuncture and some stresses at home occured the smoking started again.  I am just resuming the treatments...  hopefully it will work.  My doctor suggested Welbutrin as the best option but it's an anti-depressant and I really don't want to start taking drugs that might alter how I will feel.,In Nova Scotia it's a free service provided by our government.,First Aid,Health,General Health Care,,,,information
How come I am mentally disabled and I can do everything in life?,"The social security administration found me mentally disabled. Also the 3 doctors and phychiatric hospitals diagnozed me as schizophrenic, schizophreniform, and schizoaffective disorder. Yet, I can drive, I can take showers, shop, play computer games, etc.. so how am I disabled then? please help. I receive a monthly income of $832 disability benefits. thanks",Didnt you just ask how you can get cancer i read that but left no answer cause i thought that was a strange question... but anyways a docter can be wrong about you however 3 docters are usually right. Just sit back and enjoy the money u are getting.,Just sit back and enjoy the money u are getting.,Mental Health,Health,Mental Health,,,,suggestion
Why do I get bad cramps in my side when jogging and walking?,"I recently took up a new work-out regimine, and I run/walk three miles a day and I plan to raise it by a mile every other week...  But everyday, about halfway into my workout, I get awful cramps in my right side.    Sometimes the cramp runs along my whole ribcage and sometimes just in the middle area.  What can I do to prevent this?  And what is a good way to make them go away?  Thank you for your help!",You need to start practicing breath control when you run try to use a pattern and consentrate on taking the same breath in and releasing it out fully. you breath in fresh air and breath out air that lacks oxygen so if you are brathing fast you suck in the air with no oxygen this causes cramps also.  if you drink soda and eat greasy foods thats probably the first thing that you should work on ok.,You need to start practicing breath control when you run try to use a pattern and consentrate on taking the same breath in and releasing it out fully.,Diet & Fitness,Health,Diet & Fitness,,,,treatment
whats anal leakage?,what is it i think i have it how can i prevent it,"I was under the impression that it is a ""wet fart"" (sorry) after eating too much of a certain kind of food. i've only heard the term on mad tv, they did kind of a hilarious skit on it. haha.","I was under the impression that it is a ""wet fart"" (sorry) after eating too much of a certain kind of food.",Men's Health,Health,Men's Health,,,,information
Has anyone heard of lower lumbar L5 Gild Surgery?  2 Discectomies have not worked; looking at a 3rd surgery.?,"A relative told my husband and I to check out a surgery called ""lower lumber L5 Gild"" surgery.  My husband has already had two surgeries to repair a disc and and is now scheduled for a third one on the same (L5-S1) disc in a few weeks.  We don't want to go through this again and again.  If anyone knows any resources or information where we can learn more about this new procedure to end my husband's leg and back pain, please let us know.  Thank you.  Tammie",Back surgery is a money making scam that the medical association should be ashamed of.,Back surgery is a money making scam that the medical association should be ashamed of.,Pain & Pain Management,Health,General Health Care,,,,information
Any medical people out there?,"I know no one over the computer can diagnose me so please do not tell me that. Also please do not tell me to get to the dr!
My story is kind of long. I will fit it here as best as I can. Basically I have been having all kinds of health problems.I do not have insurance and a limited budget so I have been to the doctor but not like I SHOULD be! I need to know if my symptoms are symtoms of anything specifically so I can be sure exactly what to look into. Also I have taken three pregnancy tests all negative. So that has been ruled out! I have limited space so even though some of my symptoms require details I am not included them just listing symtoms
No appetite
When I do feel hungry get nauseous after eating
headaches (almost constant)
BAD pains in stomach
gassy
low energy
heightened sense of smell
constipation
not vommiting at all but feeling nauseous a lot of the time
blurred visions
irregular cycle 
Theres more but those are the most daily things. About the past month or so",If you haven't had it out already it could be your gallbladder. Since you do not have insurance (I would look into Medicaid) you could try sticking to a low fat bland diet. See the website below for ideas. This helps if it is your gallbladder. Also if your pains get worse DO NOT WAIT go the ER IMMEDIATELY. If you do have gallstones they could fall into the common bile duct and you get could get seriously ill and may need emergency surgery. Take cae and good luck.,See the website below for ideas.,Women's Health,Health,Women's Health,,,,suggestion
Is it common to have nausea during anal intercourse?,Some times during anal intercourse my wife will get nauseated she doesnt expierence pain and it usually happens as i  fully  penitrate her. if she doesnt get nauseated she enjoys it and can have an orgasm from it.,"her body has to get adjusted to it, before you know it, she'll be fine","her body has to get adjusted to it, before you know it, she'll be fine",Women's Health,Health,Women's Health,,,,information
"blood,question?","why was i born with RH,NEGATIVE BLOOD?
IS IT BAD TO HAVE THAT KIND OF BLOOD?","you were born with RhD negative blood because you inherited then genes from your parents - one from each.

as far as is it bad - approximately 15% of the world population is RhD negative - so trust me - its not dangerous or we'd be doing something about it!!!!",as far as is it bad - approximately 15% of the world population is RhD negative - so trust me - its not dangerous or we'd be doing something about it!!!,First Aid,Health,General Health Care,,,,information
What side effects are there with a Mitral Valve Prolapse? I have this condition -I have to take Amoxicillin..?,"Before Surgury, Dental Cleanings etc. Yesterday I found out that an online friend died from complications from this. My Doctor hasn't told me of any possible complications or side effects. If you are a Doctor, Nurse or a person with this Disorder etc. who can shed some light on this-I would greatly appreciate hearing from you. Your information could save my life or the life of other people reading this.","Amoxicillin is prophylatic for Endocarditis.  Since you have MVP ( Mitral Valve Prolapse) there is high possibity for Mitral Regurgitation, (blood flowing to the atrium when contraction, instead of going in to the Aorta).  This regurgitant jet will cause damage to the lining of the atrium in due course of time that area might be infected, which will be cause of endocarditis, thats why you are given prophylactic antibiotic therapy.

Complicaiton for MVP: 

Infective Endocarditis, Thrombosis of Left Atrium, Emobli Event, Arrhythmia, Pulmonary Hypertension, Congestive Heart Failure.

Other than that, complication can be of any type if not treated or due to secondary conditions.","This regurgitant jet will cause damage to the lining of the atrium in due course of time that area might be infected, which will be cause of endocarditis, thats why you are given prophylactic antibiotic therapy.",Heart Diseases,Health,Diseases & Conditions,,,,information
"When a female has her period, she feels extremely sexually excited?",what exactly does she feel when having period? My girlfriend tells me she feels horny all over her body,it happens,it happens,Women's Health,Health,Women's Health,,,,information
What is dyslexia?,,It is a problem with your brain that makes words and letters scramble when your reading them.,It is a problem with your brain that makes words and letters scramble when your reading them.,First Aid,Health,General Health Care,information,,,information
whats the best remedy for a cold?,,"niquil , lots rest, and drink plenty of water..","niquil , lots rest, and drink plenty of water..",First Aid,Health,General Health Care,,,,treatment
"Which herb is better for pms and hormone balance,Dong Quai or Evening Primrose oil?",,"Evening primose oil but it needs to be organic.  Eat more soy (not modified)  and drink more beer (full of oestrogens ) !!  

take care",take care,Women's Health,Health,Women's Health,,,,information
Has anyone ever heard of kalawalla for people with MS?,Kalawalla is fern that grows in Honduras and is use to ease the symptoms of MS.,Yes I have I take it,Yes I have I take it,Alternative Medicine,Health,Alternative Medicine,,,,experience
Why do we have wisdom teeth and then eventually they have be to pulled out?,,"Most adults don't have room in their mouths for them, causing the other teeth to crowd.  
More importantly though, the wisdom teeth roots will grow into your jawbone eventually and your jaw will have to be broken to have the teeth removed.","Most adults don't have room in their mouths for them, causing the other teeth to crowd.",Dental,Health,Dental,,,,cause
What is the standard recommended daily requirement of Vitamin D3 for men and women in the age group 45 to 65?,,"The dietary allowance set by the National Research Council is 400 IU per day for all healthy individuals who have no exposure to ultraviolet light. The Daily Reference Intake (DRI) had been set at 200 IU, and it was recently tripled for people over 70 years of age, to 600 IU per day - but for everyone else, the DRI remains at 200 IU.",The dietary allowance set by the National Research Council is 400 IU per day for all healthy individuals who have no exposure to ultraviolet light.,Diet & Fitness,Health,Diet & Fitness,,,,information
Is Dizziness something to worry about?,"For the past month, I have been getting many dizzy spells and recently it seems to get worse.  Today,  I felt like I was going to pass out.  I grabbed something from the floor and when I got up, everything got darker and I felt like I wanted to fall.  This doesn't just happen when I get up fast.  I was sitting at a table and all of a sudden,  I started getting really lightheaded and my ears seemed muffled and then the feeling went away.  At first I shrugged it off but now I notice that it is getting worse.  Any info will do.",See your doctor.  Definitely a good idea to have something persistent like this checked out.,See your doctor.,Other - Health,Health,Other - Health,,,,suggestion
What is the difference between a double eye lid and a single eye lid?,What is the difference between a double eye lid and a single eye lid.  I think mine is double?,two folds of skin over eye,two folds of skin over eye,Other - General Health Care,Health,General Health Care,,,,information
"I would like to know the affects, if any, for someone with COPD living in a moblile home?",Are there things used in the construction of mobile homes that would not be safe for COPD patients to be in. Would it cause more problems with their symptoms. Are would it be better to live in a house.,if you use good HEPA air filtration you should be fine.,if you use good HEPA air filtration you should be fine.,Respiratory Diseases,Health,Diseases & Conditions,,,,information
Is it weird if I want to ask my doctor to give me a MRI????,I am 21... Since middle school I've always said I don't feel right. I use to joke about a brain tumor but sometimes I think I really do have one.Lately I have had more and more headaches like 4 times out the week that sometimes don't go away with Medicine. my vision is good except one eye is 20/20 and the other is 20/40. You don't usually see that. I tend to get dizzy a lot or my vision gets a little cloudy. Should I ask my psychian can I get a MRI just for a check up????,"YES/NO
There can be tumor in the brain which can cause this problem.To find that out MRI is helpful. 
But the doctor is the best person to decide but no harm in suggesting. 
BEST OF LUCK QUICK RECOVERY.",There can be tumor in the brain which can cause this problem.,Alternative Medicine,Health,Alternative Medicine,,,,cause
What are methods to stop self harm?,"I've tried the elastic band and red marker but they don't work, and I've tried ice, but I like to eat ice. ^^'

Is self harm that bad, I just cut my arms, wrists, fingers and belly...","Do something to help someone in need. If you focus on someone else's problems, you'll forget your own! Volunteer at a soup kitchen or rescue mission. You will see some people with actual survival needs. Your problems will diminish, you will have a great sense of fulfillment and you won't have time to hurt yourself.","Your problems will diminish, you will have a great sense of fulfillment and you won't have time to hurt yourself.",First Aid,Health,General Health Care,,,,information
why is my do i keep on shaking after drinking coffee?  Is is coffee bad for the heart? i never had it before.?,,because there is soo much caffine in it and your body isnt ready 4 all that caffine!!,because there is soo much caffine in it and your body isnt ready 4 all that caffine!,First Aid,Health,General Health Care,,,,cause
Where can I find a place on the web to look up a pill?,Can I look up the name of a pill and find what it's used for? I want a website please.,"If the pill is a brand name,you can type in the name of the pill into your search engine and it will fine the manufacturer.If it is generic you can still do this,but you might type in Web MD it can tell you the pill name","If it is generic you can still do this, but you might type in Web MD it can tell you the pill name",Alternative Medicine,Health,Alternative Medicine,,,,information
Any one taking crestor?,"My Dr recently prescribed Crestor.  I was wondering if anyone has any experience(s) they would like to share (good or bad) or recommendations, opinions.",Good medicine if you need it.  Try watching your fat intake.  Always see a doctor after you start to monitor for side effects.,Always see a doctor after you start to monitor for side effects.,Heart Diseases,Health,Diseases & Conditions,,,,suggestion
Taking the Pill How Long Should I Wait to Have Sex?,So I started taking the pill on the 29th of October.  I'm now on the sugar pills this week it should end Saturday so I start taking the active pills on Sunday so I only have to wait a month after I take them to start having sex without a condom right.  I know it's safer with one but I only have to wait a month right? So would I still have to use a condom Saturday since it's my last sugar pill and then I don't have to use one Sunday b/c I'm starting the active pill again.  Or can I not use a condom on Saturday b/c I'm starting the active pill on Sunday again? Thanks,"If I were you I would take extra precautions for a full month after starting, just to be sure...;","If I were you I would take extra precautions for a full month after starting, just to be sure...;",Women's Health,Health,Women's Health,,,,suggestion
What will happen if someone gives oral sex to a person infected with crabs?,"I know that when an individual's genitals are infected with crabs, the parasites feed on the skin.  If a person's  mouth is infected with the disease, do the same results occur? Can  someone's mouth even get infected by the disease?",you can only catch crabs by sex. and it isnt a .sts. go get nix. shampoo at your local pharmacy. and put it on every place where hair is .redo this in.7. days it is like headlice. and yjis person is in my opion not clean. crabs are pastisites they live where hair is in all places ?,redo this in.7.,STDs,Health,Diseases & Conditions,,,,treatment
There's a blood drive happening at my school...am I allowed to give blood?,"I'm old enough to give blood, but I take birth control pills, Adderall (for ADHD), and Celexa (for depression). Will the blood drive people reject me when I go to give blood because I take those medications?",Call red cross blood donation centers and ask if these medication would disqualify you from donating.  Also you must weigh at least 110 lbs!,Also you must weigh at least 110 lbs!,Other - Health,Health,Other - Health,,,,information
Drink water but still dehydrated?,"I drink water, maybe not 64 ounces a day, but a decent amount...but I tend to urinate most of it out.  Hence I'm still somewhat mildly dehydrated...what does that mean?  Or do I need to just keep drinking water?",I have the same problem! Email me the answer please.,Email me the answer please.,First Aid,Health,General Health Care,,,,information
crisco for lips?,my lips are very dry. the skin is brittle. even blistics wont work. should i use a heavier method like crisco in the can? I tried some honey but it just made my lips shiny and sweet. my man wont kiss me cause he doesn't want me to slice his face.,Crisco ain't for no kissin' if ya's gonna use it make interestin'.,Crisco ain't for no kissin' if ya's gonna use it make interestin'.,Other - Health,Health,Other - Health,,,,information
Just wondering?,"If you have anorexia, you think you're fatter than you really are. So then would you see other people as thinner than they really are?","Having anorexia doesn't really concern yourself with other peoples weight, its denying your real weight. Its not feeling good about yourself for reasons that may be known to you or not. Sometimes people bother me when I watch them eat only because I can't see how people can eat anymore than I did, next to nothing, and be okay with themselves. I have been recovering fro anorexia for 5 years now and remember the feelings well. My weight was the issue with me not any other persons.",Its not feeling good about yourself for reasons that may be known to you or not.,Mental Health,Health,Mental Health,,,,information
"I have a small lump on the left side of my neck.  It doesn't hurt or move, and is very hard. What is it?",,It's probably just your lymphnodes fighting off infection. If it starts to hurt or doesn't go away within a week get it checked out.,If it starts to hurt or doesn't go away within a week get it checked out.,First Aid,Health,General Health Care,,,,suggestion
what if your doctor does doest not treat your med situation and your become challenged and lost?,"what would you do if your life was severely altered by a medical situation where you got to a doctor to prevent it fast and they did not treat it. told you he did not have time for you and your life became a night mare on earth. what would you do . how would you go about dealing with the next step or your right would be what. to sit and do nothing or fight , make noise ,  what if they shut you up and played deaf to you even when they saw your life was lost. and you were tragicly disabled. and kept telling you to go to a psychiatrist now after they did not treat you . and yourl ife is destroyed. anger. rage. depression .war. , protest?? what","personally .. if i needed medical treatment fast and my doctor refused it i would go find another doctor. i would also go to my local hospital and ask them about it and tell them about my condition,","i would also go to my local hospital and ask them about it and tell them about my condition,",Other - Health,Health,Other - Health,,,,suggestion
Will eating Dairy Queen Dilly Bars cause my private parts to shrink ?,"I have been buying Dairy Queen Dilly Bars.

My girl friend looked hard at the label and saw that the chocolate coating contained trans-fat.

She feels that this trans-fat will cause my private parts to shrink.

Is this so?

Are there other negative things this trans-fat will do to my body ?

Why hasn't the government stepped in and banned these Dilly Bars if this is so?

Is it because Hillary Clinton owns too much Dairy Queen Stock ?",Tell her your privates are none of her business. Maybe she just wants your dilly bar.,Tell her your privates are none of her business.,First Aid,Health,General Health Care,,,,suggestion
"tried almost all medications for bipolar and ptsd,  see a phsyc.  nothing is helping?","i have been on almost every possible medication for bipolar and ptsd,  i also see a phsyc. been in phsyc hospital,  nothing is working,  i am just about at the end of the tether.  i am 36 yrs old married for almost 2 yrs.  diagnosed only a couple of months after wedding,  even the little things can send me 'off',  tell my doctor everything but nothing is helping","You may be lucky.  Your only 'option' is to look for and treat the cause.  An excellent book is available by Sherry Rogers, M.D. called:  ""Depression Cured At Last!"".  She will teach you about the many known biochemical causes of mood disorders (depression, bipolar, OCDs, etc), how to identify them and how to effectively treat them.

This is a very powerful book, with hundreds (if not thousands) of scientific references to validate the information.  

This is what Martha Stark, M.D., Faculty member at Harvard Medical School and Faculty member of the Massachusetts Institute of Psychoanalysis has to say about Dr. Rogers:

""...she is one of the few doctors I know who has the guts, the brains, and the heart to say it like it is.""

""Dr. Rogers details how western medicine and the pharmaceutical industry (both of which focus on masking of symptoms with drugs) actually make the 'sick get sicker quicker'.""  

The book is available at Amazon.com or from the publisher at 1-800-846-6687.

Best wishes and good luck.","This is what Martha Stark, M.D., Faculty member at Harvard Medical School and Faculty member of the Massachusetts Institute of Psychoanalysis has to say about Dr. Rogers:",Mental Health,Health,Mental Health,,,,information
HELP; why does my BUTT stink????!!!!?,"My rear-end gives off the most UNUSUAL inhumane scent in existance, I can't EXPLAIN it!!!....I've tried everything to get rid of the smell. but,  IT WONT GO AWAY!!!
it's HORRIBLE!!! help!!!




Has anyone else EVER had this problem before??? how can I remedy this??? should I see a doctor??",yes go see a doctor !!!,yes go see a doctor !,Other - Health,Health,Other - Health,,,,suggestion
OMG!!!! Will someone please tell me a constipation or pooping story please!!???!!!??? I have one. look down.?,I am soooo constipated!!! I haven't been able to poop for like a week. I try every day but i only get a couple of marbles. I think i should go to the doctor but i don't know i kind of like all that pushing and everything. Well please tell me some of your storys cause i really want to know if other people are constipated or if you have trouble pooping. If you are a bigger lady or man then you might have trouble. I am only 289 pounds but that might be the problem idk. E-mail me or just write on here if you have any stories. My e-mail is PinkStarz_XoXoX@yahoo.com don't be shy!!!,ONLY 289 POUNDS!!!!!!!  GO ON A DIET!!!!!!  No offense.,GO ON A DIET!!!!!!,Women's Health,Health,Women's Health,,,,treatment
what will happen if a piece of glass was left in your foot for over a year?,,"well, you might get an infected foot, you might have a scared-for-life tissue and you also might have certain damages caused where your imune system isn't quite as affective","well, you might get an infected foot, you might have a scared-for-life tissue and you also might have certain damages caused where your imune system isn't quite as affective",Other - Health,Health,Other - Health,,,,information
i have a problem when my doctor when she ask me to get nude for some test i feel so bad when she touch sertain,she touch parts of my body and i got inbarse when thing happen i never feel like that before,"Yeah, wait till you go for your postrate test, when they poke up your anus for a test with their finger!","Yeah, wait till you go for your postrate test, when they poke up your anus for a test with their finger!",Men's Health,Health,Men's Health,,,,information
why do you get big tommy after child birth.?,,"TummY? I thought you were referring to someone named Tommy. you get a big tUmmy b/c you gain extra weight while you're pregnant and although the baby is out your uterus is still stretched out. It will go away though, for the most part.",you get a big tUmmy b/c you gain extra weight while you're pregnant and although the baby is out your uterus is still stretched out.,Women's Health,Health,Women's Health,,,,cause
my grand daughter has 7 missing teeth.nothing below gum line either.we have taken her to othodonist.?,she will have to get braces someday.will the dentist also put in teeth where there are no teeth coming in?this is uncommon if i remember because 7 teeth the dentist hasn't seen very often.maybe 2 or 3 teeth but not 7.,They will likely do braces and then a bridge with artificial teeth. they look real.,they look real.,Dental,Health,Dental,,,,information
what is a occipital nerve?  What body parts does it effect?,,Occulomotor Nerve for Eye. Occipital Lobe is the brain part that controls it and the nerve of that tract is the Occipital Nerve.,Occulomotor Nerve for Eye.,Other - Health,Health,Other - Health,,,,information
What are dental crowns?,,"Dental crowns, also referred to as ""dental caps"" or ""tooth caps,"" are dental restorations that cover over and encase the tooth on which they are cemented. Dentists make use of dental crowns when need to rebuild broken or decayed teeth, strengthen teeth, or improve the cosmetic appearance of a tooth.","Dental crowns, also referred to as ""dental caps"" or ""tooth caps,"" are dental restorations that cover over and encase the tooth on which they are cemented.",Dental,Health,Dental,,,,information
"is doxycycline effective in treating chlamydia, in men. please dont answer unless u know?",,"doxycycline is effective, but one dose of azithromycin would take care of it. Should consider getting a jab with ceftriaxone also, because gonorrhea infection common occur together with chlamydia infection, and doxycycline doesn't treat gonorrhea","Should consider getting a jab with ceftriaxone also, because gonorrhea infection common occur together with chlamydia infection, and doxycycline doesn't treat gonorrhea",STDs,Health,Diseases & Conditions,,,,treatment
"If I have to take radiated iodine, where do I get it?",,From a doctor...specifically on oncologist.,From a doctor...,Cancer,Health,Diseases & Conditions,,,,information
What are the small red dots on my skin?,i have some here and there. There like tiny red dots. I dont have a lot of them. What are there?,Maybe your indian. They seem to get some on their foreheads alot.,They seem to get some on their foreheads alot.,Skin Conditions,Health,Diseases & Conditions,,,,information
Bipolar disorder?,Whats the count for bipolar in the past 5 years...whats the growth rate? could u give me a website cuz i need it for a project do soon!,Here is two of my favorites. I am bipolar and highly recommend them.,Here is two of my favorites.,Mental Health,Health,Mental Health,,,,information
acne scars?,"on my forehead i got acne scars. since im medium-brown skinned, the scars are dark brown. i dont have THAT much but its enough for my self-confidence to be down. i have it on my back too except its worser. i have more and its more noticeable and it makes me timid to wear things that show my back. its only on my upper back and it doesnt have pimples, its just the scars. do you guys know how to get rid of them or make them appear less? im only a teen so i cant do anything that has to do with TONS of money and stuff so yeah .....",see a dermatologist,see a dermatologist,Skin Conditions,Health,Diseases & Conditions,,,,suggestion
I attached an acrylic nail to my toes using the glue provided. My toe is a huge blister now. What happened?,"I have them on all my other  nails, and am not having the same problem.  I think I may be having an allergic reaction to the glue or nail or both , but wouldnt it happen to all the nails and not just one?  It itchs like heck, and when I pulled the nail off it was all pink and oozing.",i didnt know u could put those on ur toes.,i didnt know u could put those on ur toes.,Women's Health,Health,Women's Health,,,,information
why do i have green bowel movements?,"alright, honestly... i'm not doing this to be funny or gross, although i know it is a little bit of both. for the past week or so, every time i go #2 it's green. why oh why is my poop green?!","This is actually a fair question.  First, 'poop' is brown because it is a mixture of green and rusty red.  The red comes from retired blood cells that are being excreted.  The greenish yellow is from bile, a substance present in your digestive system.  When there is significantly more bile than retired blood, the poo is more green (this is my many babies have green poo, their bodies aren't old enough to have retired enought red blood cells).  Bile 'overload' is somewhat rare, but is not a health issue.  If you experience abdominal cramping, dark/black stool or stool that is very thin (perhaps no thicker than a pencil) these can signs of very serious medical problems.  But for now, you're probably fine. Regards :)",The red comes from retired blood cells that are being excreted.,First Aid,Health,General Health Care,,,,information
"Heart ablation, Pros and Cons ?","I have intermitent rapid atrial fibrulation, my electrphysiologist wants me to have a heart ablation when the go in an kill the part of your heart that is misfiring.  I am not sure this is the way to go since my condition is intermittant and therefor not predictable.  I don't like that they will be zapping parts of my heart that may be healthy and weakening my heart further.  Pros and Cons please.","I think in case Pros outweigh Cons, so, take your time to find out the Best, Ultra modern place for this procedure to be done under expert hands..
Wish You Best of Luck..","I think in case Pros outweigh Cons, so, take your time to find out the Best, Ultra modern place for this procedure to be done under expert hands..",Heart Diseases,Health,Diseases & Conditions,,,,suggestion
Does chronic fatigue syndrome really exist?,,Hell yeh!,Hell yeh!,Skin Conditions,Health,Diseases & Conditions,,,,information
Can a high amount of stress cause someone that has never had seizures before to get them?,,stress can cause your head to explode!,stress can cause your head to explode!,Men's Health,Health,Men's Health,,,,information
is there a nonprescription antidepressant?,"every month, it seems that my PMS gets worse and worse. it's almost to the point that when i am PMSing, i can't stand to be around anyone, including my kids. i hate being like that. for financial reasons, i cannot go to the doctor to get put back on my antidepressants yet, so i am stuck. is there something i can take to lessen at least the depression part of PMS?",St John's Wort,St John's Wort,Women's Health,Health,Women's Health,,,,information
