subject,content,answer,sentence,cat,maincat,subcat,a_perspective_1,a_perspective_2,a_perspective_3,s_perspective_1
What is dyslexia?,,It is a problem with your brain that makes words and letters scramble when your reading them.,It is a problem with your brain that makes words and letters scramble when your reading them.,First Aid,Health,General Health Care,information,,,information
how can i get rid of major fear of the dentist?,i always feel like i will not get numbed enough from bad experinces when i was a child during a root canal and i really dont like all the tools and stuff so please help me!!,"I sympathize with you!  I recently needed extensive dental work. I, like you, was terrified.  I found a dentist who offered 'sedation care dentistry'.  The dental work took approximately 2 hours.  I felt no pain.  I can't remember the name of the sedation used (administered with a mask), but I felt no pain during the work or after.  A website http://www.sedationcare.com/site/home.asp offers information regarding sedation care dentistry.  Check it out and see if it would be something that would work for you. Hopefully there is a dentist in your area who offers this form of dentistry.  Good Luck!",I found a dentist who offered 'sedation care dentistry'.,Dental,Health,Dental,experience,suggestion,,experience
What causes mucus to be different colors?,Like green/yellow vs. white/transparent,"I used to think green or yellow meant infection but the doctor told me not necessarily. The more moisture it looses the darker it will become, that is why boogers are yellow and green. Fowl odor, headache etc usually mean there is an infection.","The more moisture it looses the darker it will become, that is why boogers are yellow and green.",First Aid,Health,General Health Care,information,,,cause
does anyone know why it hurts when i swallow?,"it hurts around my throat area, but its not my throat. it feels like somethings blocking the flow or something","Could be acid reflux.  For some folks, it's a burning sensation when the stomach acid flows up into the esophogus.  Others have trouble swallowing along with the burning.

I would have it checked out to see what you are dealing with.  When you are diagnosed, you have options, depending on what is causing this problem.    

Most prescription meds will handle the symptoms but not the cure.  If you have acid reflux, there are natural remedies that work.","When you are diagnosed, you have options, depending on what is causing this problem.",Pain & Pain Management,Health,General Health Care,cause,suggestion,,information
"Anyone know of any good Stress Management Classes?  Video, online or such.?",I am needing some kind of stress management because stress triggers seizures with me.  Having trouble finding anything that isn't real expensive or only available at a college.  For right now until seizures are under control I am not able to drive.,"As per my understanding your seizers can very well be cured by Dr Rakesh Chopra, Corporate Spiritual Mentor by using his Divine power through the ""Samarpan Yog"" Sessions. Do visit www.StressEradication.com and www.StepCircle.com for relevant information",Do visit www.StressEradication.com and www.StepCircle.com for relevant information,Mental Health,Health,Mental Health,treatment,suggestion,,suggestion
is there any cure for sever back pain caused by a pinched nerve?,,I've had good luck with a chiroptactor when I have back problems.,I've had good luck with a chiroptactor when I have back problems.,Alternative Medicine,Health,Alternative Medicine,experience,,,experience
i am 47 yrmale suffering from severe plaqe psoriasis also arthritis suggest alternative medical therapy?,,"Get plenty of sun and exercise. Take garlic, papaya, cayenne pepper, cider vinegar, and drink lots of green tea and water. Don't take all of those things at once, alternate them with meals. Try vegetarian food for a while, even do some fasting. You have to get the toxins out of your body to clear up--also do you realize that arthritis is common among psoriasis sufferers? That condition may improve as well. I hope you get better.","Take garlic, papaya, cayenne pepper, cider vinegar, and drink lots of green tea and water.",Alternative Medicine,Health,Alternative Medicine,treatment,information,,treatment
What are the signs and symptoms of influenza?,,"Flu often presents with a fever, a bad headache and an unproductive but irritating cough. You feel incredibly tired. You may have small bursts on energy, but they wear off quickly. Your body aches. You usually don't get a lot of head congestion, but some people may develop chest congestion or even pneumonia as opportunistic infections set in. Your stomach does not necessarily feel queasy but you don't feel like eating and may lose a lot of weight. You have to force yourself to drink, because you don't even want to do that. If you get a bad case of the flu, it can take 10 days to two weeks before you get back to normal activities and your energy level can be low for another two or three weeks. If you are just starting with a case of the flu, your doctor can prescribe something that will mitigate the flu symptoms, but you have to take it really early in the process or it won't work. If you have a lot of head congestion (runny or stuffed nose and sinuses) it may not be the flu, especially if there is no fever.","You usually don't get a lot of head congestion, but some people may develop chest congestion or even pneumonia as opportunistic infections set in.",First Aid,Health,General Health Care,information,,,information
i have 2 have ear surgery and i'm scared!what can i do 2 clam my nerves!?,,"will you be put under general anesthesia?  if so, you won't even know you had it.  tell them as soon as you get there that this is your first surgery, and they will give you something to calm you before you get put under.  it will relax you, then you count backwards and the next thing you know, you're done-you are totally unaware when under anesthesia-i think its great!","it will relax you, then you count backwards and the next thing you know, you're done-you are totally unaware when under anesthesia-i think its great!",Other - General Health Care,Health,General Health Care,experience,,,information
Where is the best school for becoming a physical therapy assistant?,school and physical therapy,"If you are willing to relocate, here in South Carolina we have to schools that are really great.  Greenville Tech and also Upstate South Carolina in Spartanburg which is a branch of the University of South Carolina.",Greenville Tech and also Upstate South Carolina in Spartanburg which is a branch of the University of South Carolina.,Diet & Fitness,Health,Diet & Fitness,suggestion,information,,information
If you die of HIV-AIDS..............?,There is a court case in South Africa about a Doctor who wrote on the deth sertificate that the patient died of AIDS..what's your felling about this???,"Nothing really because people die of HIV,HPV,herpies,sipplis,and other diseases.","Nothing really because people die of HIV, HPV, herpies, sipplis, and other diseases.",Infectious Diseases,Health,Diseases & Conditions,,,,information
Is getting married can help me ease the pain cause by dysmenorrhea?,Because according to other's hearsay getting married is one of the cure of dysmenorrhea.And i just wanted to be sure if this is true..will you please help me..tnx..Godbless!!,"Having sex can help with it, then having children can help even more. Marriage as an institution doesn't really cure anything.",Marriage as an institution doesn't really cure anything.,Women's Health,Health,Women's Health,treatment,information,,information
how to get rid of daily morning pimpels ?,I have innumerable pimels on my face i am a male 21 years old please tell me some medicine or else the tretmant,"i think u should use strong toothpaste with mint this thing over nigh.and in thee morning u will wash ur face with a proffesional product for zits,this is how i get rid of them","and in thee morning u will wash ur face with a proffesional product for zits, this is how i get rid of them",Men's Health,Health,Men's Health,,,,experience
Please help!! Every part of my body is thin except for my belly. It's gross and it's as big as my chest.,"I've been this way since i was a teenager. Now that I'm in thirties, I look like 5 months pregnant even though I've never had babies. I tried losing weight by doing cardio exercise and ab crunches but it made my already small chest and butt even smaller so my tummy was still the same size as my chest. I've tried low-fat diet, they don't help either. They say spot reduction doesn't work. Is it true? is liposuction my only option?",dont diet cos ur already thin.  just work on ur belly thru exercise and wear those big pants that help make ur belly look flat.  ive heard that the machine with a belt that vibrates helps but they're quite expensive tho,just work on ur belly thru exercise and wear those big pants that help make ur belly look flat.,Diet & Fitness,Health,Diet & Fitness,treatment,information,,treatment
how doe the heart sotp pumping?,,by not using spell check,by not using spell check,Men's Health,Health,Men's Health,,,,information
I keep itching all over in diffrent spots on my body it lokks like hives but then go away in like 20 min?,What do u think it is stress?? Ive havent changed any soap or detergent.  Could it be my dog?? But Ive had him for 1 year now?? My life has been stressful as of late.  Should I go to the doctor??,"take an antihistamine. i have an Rx fro hydroxyzine. its great. there are over the counter ones too. ask a pharmacist.
see if that works.
also a nice Luke warm bath and then lotion like lubriderm or nutriderm , no fragrance!!!.. hydrate helps stop the itch too.

keep a record of what you eat. and use up to 8 hours before. could even be air fresheners or cleaners or pollen your breathing in.
you may need to get allergy checked.

hormones and other immune factors make what we are and aren't allergic to change over time,.AND STRESS CAN MAKE YOU MORE SUSCEPTIBLE.

just because you haven't changed your products doesn't mean they haven't changed the formula! 

and i can have one thing one day and then not the next.
only have big worries if your face mouth or tounge swells or oyu have other breathign difficulties or racing heart.. otherwise its mostly just annoying. good luck!",you may need to get allergy checked.,Skin Conditions,Health,Diseases & Conditions,treatment,information,,suggestion
I am looking for an ointment you can put under your nose to eliminate odor?,"Its an ointment you can use when doing smelly jobs, almost like vicks but specifically for this.","From riding horses for many years, we use Vic's Vapo Rub under a stud horses nose to ruin the smell of a female horse who is in heat.
If it works for that smell, it should work for most anything else.","From riding horses for many years, we use Vic's Vapo Rub under a stud horses nose to ruin the smell of a female horse who is in heat.",First Aid,Health,General Health Care,treatment,information,,experience
Does anybody know WHY sleeping in front of a fan causes a stiff neck?,"I think it is especially bad if you go to be with wet hair too, I know it is an old wives tale but it does actually happen I just dont get why. Anybody?","Bell's Palsy.

http://www.webmd.com/hw/brain_nervous_system/hw179179.asp",Bell's Palsy.,First Aid,Health,General Health Care,cause,,,cause
Is this Depersonalization? Can someone help me please??,"Brief background: about 5 years ago experienced random episodes of a spacey depersonalized feeling that made me feel irritated and snappy, along with a severe problem with focusing or concentrating. I went to my doc and he prescribed me Effexor XR. My dose never went past 75mg. And as of the last 2.5 years I have got it down to dividing my 37.5 into thirds. I have wained myself down because I do not have depression at all, im very content, and my anxiety is not any more than average. I did not want to be on a med forever if i did not have a concrete reason as to why I should be on it.

Main issue: I know that effexor works on serotonin at the doses i am on... Straterra is known to work on norepinepherine, thus the reason it didnt curb the irritated spacey feeling i have... I am at my witts end here with this damn annoying feeling, its not debilitating just bad if it happens at work, and my girlfriend is not a fan and i dont blame her. 

Does anyone else feel like this? please help.",yes probally,yes probally,Mental Health,Health,Mental Health,cause,,,information
Anyone suffering bipolar for more than a couple of years?,"If yes,did it have a remarkable negative effect on your education or working life???Did anyone had difficulties in learning or working thus had to quit???","i have had bipolar since i was 14. im 21 now. yes, it has been hard ever since, i have quit high school and i dont work. i dont think any one really imderstands what i have to go through.  i used to think it was my fault though, but i know now that im older that it isnt my fault. i cannot control it only by taking medicine!",i have had bipolar since i was 14. im 21 now.,Mental Health,Health,Mental Health,experience,,,experience
"Does anyone take Ranitidine? Can you tell me what kind of side effects you've gotten, if any? Has it helped u?","I've been taking Ranitidine for over a week now & think I might be experiencing some side effects. I'm debating whether or not to go to the doctor or if these are normal & mean the medication is working? The doctor is also not completely sure of my condition, they were just guessing I may have GERD and this medication would help. Any thoughts would be greatly appreciated. Thanks!!","I suggest you call your pharmacist and ASK. You should have been provided with information when the prescription was filled. If not, ASK FOR IT.",I suggest you call your pharmacist and ASK.,Other - Health,Health,Other - Health,suggestion,,,suggestion
I need a home remedy for a cough??,It's Saturday night and I can't get to the store to purchase a cough syrup. My daughter is pretty miserable with a nasty barking cough. Does anyone have a home remedy that will give her some relief? I would appreciate you taking the time to tell me what to use and how to make your home remedy.,"A barking cough may be a sign of strep throat.If your daughter is experiencing lower abdominal pain,nonstop coughing, temperature and fever,as well as feeling very hot or suddenly cold , your daughter may have strep throat.However,if you are unable to go out and treat this, you may want to get a teaspoon of honey(not recommended for under 3 years old,may be too sticky) and make some tea.Lipton is great.Mix in .This may temporarily take the cough down a touch.Hope This Helps. GOOD LUCK!!!",This may temporarily take the cough down a touch.,Respiratory Diseases,Health,Diseases & Conditions,,,,information
Blocked saliva gland?,"I have a blocked saliva gland. The stone came out about 2 weeks ago but its still really swollen and painful. I am on antibiotics but they dont seem to work, has anyone else had this what can I expect to happen to me to resolve this, its been a nightmare.","My late husband had a benign tumour in his salivary gland after emoval it took a long time to heal because it is a moist area. 
Just keep it clean and it will heal  
Sorry no instant cure just good old fashioned time.
Antibiotics take a while to get into your system",My late husband had a benign tumour in his salivary gland after emoval it took a long time to heal because it is a moist area.,Other - Diseases,Health,Diseases & Conditions,experience,treatment,information,experience
What medical condition could cause a man to have problems reaching an orgasm?,Orgasms used to come easily - even too easily. Erection is not an issue.,"Diabetes, enlarged prostate, youll just have to see your doctor","Diabetes, enlarged prostate, youll just have to see your doctor",Men's Health,Health,Men's Health,cause,,,cause
"I eat table salt and really swell up, would eating sea salt make me hold water like table salt does?","When i eat anything salty my system holds the water so i have to take medication to get the water off my system, My legs swell up really bad and i take lasix . If I eat seasalt will the sodium intake be the same and will it make my body hold water like regular salt","Sea salt is still 99% sodium chloride, same as table salt.
Yes, you will still swell up and retain water.","Sea salt is still 99% sodium chloride, same as table salt.",Diet & Fitness,Health,Diet & Fitness,information,,,information
why do i get hiccups?,,u get hiccups because of the spasmodic contractions of the Diaphrgm(that which separates the rib cage and abdomen)..this could be due to faster intaking of food/swallowing fast/taking too much dry foods/.,u get hiccups because of the spasmodic contractions of the Diaphrgm(that which separates the rib cage and abdomen)..,First Aid,Health,General Health Care,,,,cause
When is bed rest an option when pregnant?,,"When experiencing premature labor, or blood pressure goes too high. (aka preeclampsia).",(aka preeclampsia).,Women's Health,Health,Women's Health,information,,,information
why does female masturbation via the clitoris hurt the vagina?,,"are you pressing too hard on it?? 
it shouldn't hurt...most women like to have their clitoris touched.",it shouldn't hurt...,Women's Health,Health,Women's Health,,,,information
does the return of breast cancer mean you have to have a mastectomy?,,no get glyconutrients. read my page and testimonials.,read my page and testimonials.,Cancer,Health,Diseases & Conditions,treatment,suggestion,,suggestion
Is an increased heart rate (above 100) normal in pregnancy?,"I have had a few episodes of increased HR highest has been 130 bpm. I have been sitting down in all incidents, no vigorous activity.",It can be caused by tension or stress but I would reccommend consulting your doctor.,It can be caused by tension or stress but I would reccommend consulting your doctor.,Women's Health,Health,Women's Health,cause,suggestion,,cause
i have dizziness before one month ago...?,"iam40 years old male..get dizziness before one month please help me ,are there any doctor there",Going to the doctor is your best bet...,Going to the doctor is your best bet...,Other - Diseases,Health,Diseases & Conditions,suggestion,,,suggestion
how do cur plantar fasites?,,It depends on how long you have had it.  Physiotherapy can make a difference if you haven't had it for too long.  Orthotics and exercises are next followed by night splints along with everything else.,It depends on how long you have had it.,Men's Health,Health,Men's Health,information,,,information
Why are my palms and feet soles yellowish?,"I went to the doctor and had all the possible tests. All parameters are within normal range.  I was also tested for hepititis (A, B and C) and I am perfectly fine.  Any ideas (expect for eating excessive amounts of carrot, which I don't).",infection,infection,Other - Health,Health,Other - Health,cause,,,cause
I am going in for a radical hysterectomy in 8 weeks?,Can anyone give me any advice on diets before and after also any exercise.  Is it true that you put on weight afterwards? What is the best way to avoid this ?  I am feeling nervous now just wish it was all over with.,"stay off your feet a few weeks after the surgery. you may put on a few pounds after surgery, but this is caused by an upset of hormone balance in your body. it souldnt be a problem.  you will be on hormones for a long time, so be prepared. and RELAX! hysterectomies are a routine thing. you will be fine. trust me.","you may put on a few pounds after surgery, but this is caused by an upset of hormone balance in your body.",Women's Health,Health,Women's Health,information,suggestion,,information
"Does anyone know why diabetics have a sensation of shaking or trembling inside, other than low blood sugar?","My husband is a diabetic, and he sometimes complains of ""shaking inside.""  It's not that he's visibly trembling on the outside.  I have another friend who is diabetic who says she feels the same thing.

Does anyone know what causes it?

My husband checks his glucose when he feels that way and it's generally in the mid 80's.  Never lower than that, and that's not too low.

Any ideas?  Anyone else have that experience?",I get those too. They're hard to explain. I dont know what its from but im glad im not the only one.,I dont know what its from but im glad im not the only one.,Diabetes,Health,Diseases & Conditions,experience,,,experience
ummmmmmmm whats with pimples?,its an imbarrasing problem every once and a while i know all girls and boys get pimples and i think its disgusting the comercials say to use theyre product ive tried some and they dont work i need answers from the real people,"pimples/acne are caused by overactive sebaceous glands. acne and acne pimples are a BACTERIAL infection, which most people dont realize.t o get rid ofthe pimples, you must use an anti-bacterial for acne, the best on the market is Neutrogena's Acne On The Spot Cream....any cream with benzoyl peroxide or salicylic acid will help clear up pimples but it MUST be used daily.....","t o get rid ofthe pimples, you must use an anti-bacterial for acne, the best on the market is Neutrogena's Acne On The Spot Cream....",Skin Conditions,Health,Diseases & Conditions,,,,treatment
"What causes muscle cramps in back? I constantly deal with this, what is best solution?",,"lactic acid build up is the most common cause of cramping in muscles

when excersizing this can be elliviated by proper warm up and cool down excersies

make sure you get enough vitamin C abd Bs in your diet.
keep yourself well hydrated.",keep yourself well hydrated.,Men's Health,Health,Men's Health,cause,treatment,,treatment
i got a splinter in my finger i pulled it out and now i cant hardly bend it?,,"I agree with others, if you don't get it treated...it my swell up the size of two fingers.  This just happened to a friend of mine.  See a doctor.",it my swell up the size of two fingers.,Women's Health,Health,Women's Health,,,,information
constipation and overweight?,"Hi, I was wondering if anyone could tell me if being constipated contributes to overweightness.. my son is overweight, and we've been seeing doctors for 2 years to find out why because food is not a factor.. he just doesn't eat that much, and what he does eat is healthy.. well, they told me that he was constipated very badly ( I didn't think he was because he goes to the bathroom regularly) and that is why he is so overweight.. this doesn't make sense to me.. can being constipated really make you overweight???","Being overweight can make you constipated. If your son is eating healthy and getting 30 minutes of good exercize everyday, and he's still overweight, try getting his thyrod checked. It's a blood test. If the TSH level is over 5, he has low thyroid. When mine was discovered, it was at 600. It's now undercontrol and I have more energy and only weigh 105 now. (I'm 5 feet tall)
In any case, getting exercize will lose more weight than eating less.","If the TSH level is over 5, he has low thyroid.",Other - Diseases,Health,Diseases & Conditions,,,,cause
ADHD does anyone have a suggestion to treat without meds?,"My son is 10 and is on an ADHD medication.  It has helped him tremedously, but with the new warnings I am worried.  I'd like to try some other way of dealing with it, but dont really know where to start.  He truly has this condition, and it is a real problem in his schoolwork and his social skills.  The drug has improved his quality of life imeasureably, but i'd like to hear another option  Any suggestions?",Please visit my site for more ADHD info,Please visit my site for more ADHD info,Alternative Medicine,Health,Alternative Medicine,suggestion,,,suggestion
hi what does 80 - 100 pus cells  and protein trace(albumin) in urine during pergnancy mean?,,"it is UTI. that is urinary tract infection , which is common in pregnancy & dangerous too in view of miscarriage. occurs due to inadequte intake of water. send the urine for culture & sensitivity , start broad spectrum antibiotics which are safe in pregnancy,avoid intercourse.",it is UTI.,Infectious Diseases,Health,Diseases & Conditions,cause,treatment,,cause
what colour does blood in urine looks like when its mixed??,red orange or brown??,I am passing a kidney stone as we speak.. And it's brown...Looks like coffee.,I am passing a kidney stone as we speak.. And it's brown...,Other - Health,Health,Other - Health,,,,experience
How do you know if you have Breast Cancer?,,"Symptoms of Breast Cancer

- an abnormal lump or thickening in or near the breast or underarm area
- any change in the size or shape of the breast
- abnormal discharge from the nipple
- change in the color or texture of the breast, aureola, or nipple
- any dimpling or puckering of the breast

There are two different stages of testing. Screening tests (such as an annual mammogram) look for signs of disease in women without symptoms; they should be part of every healthy woman's routine. Diagnostic tests (such as magnetic resonance imaging [MRI], blood tests, or bone scans) become part of the picture when breast cancer is suspected or has been diagnosed.",- an abnormal lump or thickening in or near the breast or underarm area,Women's Health,Health,Women's Health,,,,information
Is blood pressure of 103 over 63 something to worry about?,Nything I should do?,"No that's nothing to worry about, normal blood pressure is around 120/80 so don't panic","No that's nothing to worry about, normal blood pressure is around 120/80 so don't panic",Women's Health,Health,Women's Health,,,,information
Have there ever been a doucmented case of pancreatic cancer going into remission?,,"Many people have been cured of all sorts of cancer. The doctors call a cure 'going into remission'.

I have always believed that the mainstream medical industry is not interested in finding a cure for cancer because it makes too much profit with its present barbarous methods.
Eventually, I came across a detailed report which agreed with my findings, and I have included it in my web page at

http://dgwa1.fortunecity.com/body/cancer.html

By reading this report, you will also convince yourself that it is best to ignore the mainstream cancer industry, and seek alternative cures. Also you should bear in mind that the medical industry will do anything to protect its profitable position, including disparaging alternative healers or even creating bogus court cases.

I believe that cancer is a whole body thing, which in 80 percent of cases manifests itself by producing symptoms in the weaker parts of the body, and therefore appearing localised. It is this treatment of symptoms instead of cause which creates the profitable, yet non-successful approach of mainstream medicine.

Some cures are listed on the web page too.

It is therefore obvious that a holistic approach is required, based on cleansing, diet, exercise and debugging.","It is this treatment of symptoms instead of cause which creates the profitable, yet non-successful approach of mainstream medicine.",Cancer,Health,Diseases & Conditions,,,,information
Sleep Disorders?,"for the past few years I have been having trouble with my sleep.  My husband states that I jerk around so violently in my sleep he has to go sleep on the couch.  I am also told that my face contorts, as well as Screaming and Cussing out loud.  does anyone else experience this?  Does anyone have any ideas about what could be causing this?  Please help me.",Ideally have a sleep study (nocturnal polysomnography).  That test would have the highest likelihood of definitive diagnosis.,Ideally have a sleep study (nocturnal polysomnography).,Women's Health,Health,Women's Health,suggestion,,,suggestion
"i was born deaf but i want my hearing back, can anyones help me out please this is serious,thanks.?","NO, I DONT WANT HEARING AIDS AND OTHER CRAPS,I WANT MY HEARING BACK BEAUSE BOTH OF MY EARS HAVE NO NERVES.","first, how were you deaf from birth and you want your hearing back? well, my only suggestion is to go to a doctor and pay for surgery","well, my only suggestion is to go to a doctor and pay for surgery",First Aid,Health,General Health Care,suggestion,,,suggestion
dark circles?,"guys n gals help!!!i have tried everything under the sun for my dark circles..just doesnt go..tried the whole works..cucumber paste,potatoes,milk,tea bags..it just wont go..please help",use sandle paste,use sandle paste,Women's Health,Health,Women's Health,treatment,,,treatment
Will I gain weight if I have fruit before bed?,"I know your not suppose to eat 2 hours before bed, but if your craving sweets at night is it ok to have some fruit, or should I just ignore the craving?",I always eat before i go to bed. If you exercise in the morning you will be fine. It takes about 3 days to gain the weight so if you only have the craving once in a while eat whatever you want.,It takes about 3 days to gain the weight so if you only have the craving once in a while eat whatever you want.,Diet & Fitness,Health,Diet & Fitness,experience,suggestion,information,information
Is there anything I can do to relieve my tinittus?,,"Go too your nearest Health Food Store and buy or order the book...Cure For All Diseases.  The answers are in there, nobody needs too be sick if they follow the instructions in this book. Its truly amazing, I have been through three books in the last 10 years, thats how much me and our friends use it.  Worked for us, we are doing great now..see what you think...","Worked for us, we are doing great now..",Other - Diseases,Health,Diseases & Conditions,,,,experience
blood when passing gas...?,My sister says she has blood from her rectum when passing gas lately. Her hemoglobin is normal and she feels well. Can someone please tell me what might be causing this to happen?,"Get to the doctor asap. Could be a number of things; from haemorrhoid's to polyps. 
Best to get it checked out by someone qualified
.",Get to the doctor asap.,Cancer,Health,Diseases & Conditions,,,,suggestion
Is it really allergies?,"For the past week or so I've had what I thought was pink eye.( My son had pink eye on and off for a month or so) When I get up in the morning, my right eye is swollen,red and watery. However, after being up for a few hours, my eyes seem to be fine and I'm able to put my contacts in.  I've also had a sore throat and a little cough since this started. I've been to my doctor as well as an eye doc and they both say the same thing, allergies. I haven't had allergy problems like this since I was 6 years old!! I'm really getting tired or getting up with a sore throat and puffy eyes. What do you think? Is anyone else out there having these same problems?","I would say that it's allergies! My symptoms are the SAME EXACT ONES as yours!  I just keep blowing my nose, making myself sneeze, and using nasal spray and claritin!  I'm usually 100% by 10am.",My symptoms are the SAME EXACT ONES as yours!,Other - General Health Care,Health,General Health Care,,,,experience
So what have you heard about HPV and Cervical Cancer?,,"If untreated, I think HPV has a greater risk of turning into cancer, it's probably pretty rare. I have HPV and I treated it once and it hasn't broken out anymore. It's misdiagnosed a lot though.",It's misdiagnosed a lot though.,Women's Health,Health,Women's Health,,,,information
How is it possible for a dentist to pass on aids to his patients?,I have heard of a dentist getting arrested for dilebertly passing AIDS to 5 of his patients. How is this possible. What can I do to protect myself everytime I go too see the dentist besides going to a dentist that I can trust.,"If they don't sterilize their instruments they could purposefully spread HIV.  Have them open the instruments up in front of you if you are that concerned.  I don't see this as something to really worry about, the chances of a dentist purposefully doing this are so slim it is hardly worth mentioning.",Have them open the instruments up in front of you if you are that concerned.,Dental,Health,Dental,,,,treatment
please ask me a batter medicinse for penis size inlargment?,,"take it from a woman babe, its how you use it...no point having a huge penis if your clumsy with it or dont know how to use it.

I'd prefer a small man who can use it really well than a large man who I'll get bored with.",no point having a huge penis if your clumsy with it or dont know how to use it.,Men's Health,Health,Men's Health,,,,information
For the last two days Every time I eat something I get Diarrhea? Any clues why?,It can be something as simple as toast or oatmeal!,"Try Imodium for a couple of days, drink plenty of water to stop dehydration.
If it continues seek medical advice.","Try Imodium for a couple of days, drink plenty of water to stop dehydration.",Other - General Health Care,Health,General Health Care,,,,treatment
Could it be serious?,I have asnipp in my back. i have been born with that snipp but now it is really itching.what could it be?,"i don't really know what that is but you should talk to your parents & doctor, and pray!! so God will heal you!!
i'll be praying for U!(even though i have no clue who U R!)
keep your hopes up!",so God will heal you!,Women's Health,Health,Women's Health,,,,information
is it ok if i skip a month of my period if i got it last year?,ok well i got my period the summer b4 i went 2 8th grade and now i'm in 9th so is it ok?? its almost the end of november and i still didnt get my period!!! it was exactly month on the 12th that i didnt hav my period so i'm about a week and 2 days late is that ok??,no go see a doctor,no go see a doctor,Women's Health,Health,Women's Health,,,,suggestion
